Millis,INA260 Current (mA),INA260 Voltage (mV),INA260 Power (mW),PicoTemp Temp (C),MTK3339 Year,MTK3339 Month,MTK3339 Day,MTK3339 Hour,MTK3339 Minute,MTK3339 Second,MTK3339 Latitude,MTK3339 Longitude,MTK3339 Speed,MTK3339 Heading,MTK3339 Altitude,MTK3339 Satellites,ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),Analog_Temp_0 ADC_val
4994,,,,,2020,8,2,0,0,5,0.0,0.0,0.0,0.0,0.0,0,-2.1547815799713135,9.050082206726074,-1.5418659448623657,-0.6603516936302185,0.8077468872070312,0.5778742432594299,-17.399999618530273,23.100000381469727,24.75,209.57638549804688,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,11.84000015258789,56.619998931884766,,670
6342,901.25,3398.75,3060.0,17.307579040527344,,,,,,,,,,,,,-1.2545616626739502,10.074800491333008,-1.1252747774124146,-0.05055069550871849,0.5730852484703064,-0.23679010570049286,-21.0,21.149999618530273,24.0,209.81600952148438,,,,,,,,0.0,0.0,0.0,,,,,,,,11.859999656677246,56.630001068115234,,672
6875,,,,,,,,,,,,,,,,,0.07661445438861847,10.103530883789062,-3.423708438873291,0.2740379869937897,-0.06757830083370209,0.3847173750400543,-22.5,20.100000381469727,25.5,209.57638549804688,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,11.859999656677246,56.630001068115234,,674
7407,670.0,3512.5,2360.0,16.839433670043945,,,,,,,,,,,,,-2.8155810832977295,8.815450668334961,-1.6328455209732056,0.25115713477134705,-0.16442278027534485,0.061725057661533356,-9.899999618530273,26.25,26.25,209.76808166503906,,,,,,,,0.0,0.0,0.0,,,,,,,,11.850000381469727,56.61000061035156,,671
8040,,,,,2020,8,8,17,1,43,0.0,0.0,0.0,0.0,0.0,0,-4.960785865783691,9.227252960205078,-1.7525556087493896,-0.30436837673187256,-0.051614921540021896,0.42569005489349365,-4.050000190734863,25.5,21.899999618530273,209.57638549804688,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,11.880000114440918,56.529998779296875,,670
9589,933.75,3385.0,3160.0,17.307579040527344,,,,,,,,,,,,,-5.1331682205200195,8.058882713317871,-1.2306196689605713,0.04363323003053665,0.006385351065546274,0.1037619560956955,-1.9500000476837158,24.899999618530273,24.299999237060547,209.57638549804688,,,,,,,,0.0,0.0,0.0,,,,,,,,11.899999618530273,56.529998779296875,,670
10121,,,,,,,,,,,,,,,,,-5.2672438621521,8.35097599029541,-1.4460978507995605,-0.07502787560224533,-0.010642251931130886,0.03990844264626503,-2.8499999046325684,25.799999237060547,22.950000762939453,209.4805450439453,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,11.949999809265137,56.5,,670
10652,908.75,3398.75,3080.0,15.435001373291016,,,,,,,,,,,,,-4.884171485900879,8.197746276855469,-1.5610195398330688,-0.09418392926454544,-0.04735802114009857,0.07236731052398682,-3.450000047683716,24.450000762939453,23.549999237060547,209.81600952148438,,,,,,,,0.0,0.0,0.0,,,,,,,,11.970000267028809,56.459999084472656,,672
11185,,,,,2025,12,6,17,1,46,0.0,0.0,0.0,0.0,0.0,0,-5.568912982940674,7.95832633972168,-0.8140285611152649,0.21124869585037231,0.2798911929130554,0.10642251372337341,-0.30000001192092896,25.5,24.450000762939453,209.6243133544922,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,11.970000267028809,56.369998931884766,,671
12636,940.0,3388.75,3050.0,17.77568817138672,,,,,,,,,,,,,-4.4292731285095215,8.461109161376953,-0.8523358106613159,0.224019393324852,-0.014367039315402508,0.18304672837257385,-3.0,26.399999618530273,26.399999618530273,209.76808166503906,,,,,,,,0.0,0.0,0.0,,,,,,,,11.979999542236328,56.31999969482422,,668
