Millis,INA260 Current (mA),INA260 Voltage (mV),INA260 Power (mW),PicoTemp Temp (C),MTK3339 Year,MTK3339 Month,MTK3339 Day,MTK3339 Hour,MTK3339 Minute,MTK3339 Second,MTK3339 Latitude,MTK3339 Longitude,MTK3339 Speed,MTK3339 Heading,MTK3339 Altitude,MTK3339 Satellites,ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),Analog_Temp_0 ADC_val
430449,767.5,3378.75,2600.0,21.052661895751953,,,,,,,,,,,,,9.653421401977539,0.7852981686592102,1.2641384601593018,-0.40759822726249695,-0.005321125965565443,0.0686425194144249,-37.349998474121094,-16.950000762939453,55.79999923706055,215.4229736328125,,,,,,,,0.0,0.0,0.0,,,,,,,,13.720000267028809,29.809999465942383,,671
430981,,,,,2025,12,6,17,8,46,33.07582473754883,-111.968994140625,5017.0,13536852.0,2178752.0,26,9.950302124023438,-0.727837324142456,-0.29209262132644653,0.02607351541519165,-0.060128722339868546,0.07768843322992325,-40.04999923706055,-31.799999237060547,47.70000076293945,215.75843811035156,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.739999771118164,29.850000381469727,,674
432430,1007.5,3260.0,3290.0,22.457059860229492,,,,,,,,,,,,,9.53849983215332,-1.1444283723831177,-1.2066776752471924,-0.1042940616607666,-0.02766985446214676,-0.02607351541519165,-39.150001525878906,-31.950000762939453,46.79999923706055,215.6146697998047,,,,,,,,0.0,0.0,0.0,,,,,,,,13.760000228881836,29.889999389648438,,675
432962,,,,,,,,,,,,,,,,,9.639056205749512,0.7757213711738586,-1.6280571222305298,-0.8694719672203064,0.06544984877109528,-0.07609209418296814,-40.650001525878906,-33.599998474121094,42.75,215.75843811035156,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.760000228881836,29.889999389648438,,674
433494,1051.25,3227.5,3390.0,22.457059860229492,,,,,,,,,,,,,9.38048267364502,1.9967641830444336,-0.023942016065120697,-1.2829233407974243,0.04310112074017525,0.015963377431035042,-40.349998474121094,-38.54999923706055,32.099998474121094,215.56674194335938,,,,,,,,0.0,0.0,0.0,,,,,,,,13.6899995803833,29.93000030517578,,678
434026,,,,,2025,12,6,17,8,49,33.07573699951172,-111.96885681152344,4525.0,12788206.0,2199888.0,25,10.022128105163574,-0.5889736413955688,0.3256114423274994,0.30809319019317627,0.040972672402858734,0.05374337360262871,-39.599998474121094,-36.29999923706055,18.600000381469727,215.71051025390625,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.710000038146973,29.950000762939453,,670
435477,1033.75,3238.75,3340.0,24.329635620117188,,,,,,,,,,,,,9.758766174316406,0.06703764945268631,0.1867477297782898,0.6199111938476562,0.2277441769838333,0.11440420895814896,-39.150001525878906,-39.75,25.950000762939453,215.71051025390625,,,,,,,,0.0,0.0,0.0,,,,,,,,13.75,29.959999084472656,,679
436010,,,,,,,,,,,,,,,,,9.911994934082031,-0.05746084079146385,0.23942017555236816,0.9780229330062866,0.18783575296401978,0.044165343046188354,-36.599998474121094,-40.95000076293945,39.75,215.56674194335938,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.779999732971191,29.979999542236328,,676
436541,1040.0,3227.5,3350.0,21.52080535888672,,,,,,,,,,,,,9.260771751403809,0.49320554733276367,0.8954314589500427,1.2217304706573486,0.10801885277032852,-0.018091827630996704,-38.400001525878906,-30.149999618530273,49.95000076293945,215.4709014892578,,,,,,,,0.0,0.0,0.0,,,,,,,,13.699999809265137,29.969999313354492,,673
437073,,,,,2025,12,6,17,8,52,33.07565689086914,-111.96870422363281,5991.0,11925780.0,2221024.0,25,9.75397777557373,1.479616641998291,-1.2832920551300049,0.8833068609237671,0.14686307311058044,0.1388813853263855,-39.599998474121094,-2.700000047683716,47.400001525878906,215.4229736328125,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.770000457763672,29.959999084472656,,678
